음식ID,이름,탄,단,지
264,피자_불고기 피자 체다크림크러스트 (R),,13.4,
265,피자_불고기 피자 치즈링 (G),,15.69,
266,피자_불고기 피자 치즈링 (L),,16.33,
267,피자_불고기 피자 치즈링 (R),,15.54,
268,피자_불고기 피자 치즈캡 (L),,12.67,
269,피자_불고기 피자 치즈캡 (R),,14.19,
270,피자_불고기 피자 치즈크러스트 (L),,14.29,
271,피자_불고기 피자 치즈크러스트 (R),,14.29,
272,피자_불고기감자 피자 (XL),,17.45,
273,피자_불고기 피자 (L),39.12,15.25,10.77
274,피자_불고기 피자 (L),,16.0,
275,피자_불고기 피자 (L),,12.47,
276,피자_불고기 피자 (L),,13.7,
277,피자_불고기 피자 (L),,13.06,
278,피자_불고기 피자 (L),,10.79,
279,피자_불고기 피자 (L),,11.25,
280,피자_불고기 피자 (L),,7.34,
281,피자_불고기 피자 (L),,15.65,
282,피자_불고기 피자 (L),,14.81,
283,피자_불고기 피자 (L),26.1,14.79,6.47
284,피자_불고기 피자 (M),,14.04,
285,피자_불고기 피자 (M),,12.77,
286,피자_불고기피자 (R),,11.61,
287,피자_불고기 피자 (R),,10.14,
288,피자_불고기 피자 (XL),,17.2,
289,피자_불고기 피자 고구마크러스트 (L),,12.7,
290,피자_불고기 피자 고구마크러스트 (R),,12.5,
291,피자_베이컨체다치즈 피자 (L),,15.29,
292,피자_베이컨체다치즈 피자 (L),,16.56,
293,피자_베이컨체다치즈 피자 (L),34.8,17.05,11.68
294,피자_베이컨체다치즈 피자 (M),,12.85,
295,피자_베이컨체다치즈 피자 (R),,11.23,
296,피자_베이컨체다치즈 피자 (R),,14.47,
297,피자_베이컨체다치즈 피자,,14.18,
298,피자_베이컨체다 피자 밀도우 (L),,10.34,
299,피자_베이컨체다 피자 밀도우 (R),,6.91,
300,피자_베이컨체다 피자 씬도우 (L),,10.34,
301,피자_베이컨체다 피자 씬도우 (R),,6.89,
302,피자_베이컨체더치즈 피자 나폴리 (L),24.59,14.96,12.6
303,피자_베이컨체더치즈 피자 씬 (L),,15.71,19.46
304,피자_베이컨체더치즈 피자 오리지널 (L),28.2,12.77,12.31
305,피자_베이컨치즈후라이 피자 (L),,10.56,
306,피자_베이컨파인 피자 (XL),,19.91,
307,피자_베이컨포테이토 피자 (L),,15.0,
308,피자_베이컨포테이토 피자 (L),,10.58,
309,기타차_폼폼 민트티 (Grande),,0.0,
310,피자_베이컨포테이토 피자 리치골드 (L),,10.71,
311,피자_베이컨포테이토 피자 리치골드 (M),,11.2,
312,피자_베이컨 포테이토 피자 밀도우 (L),,5.98,
313,피자_베이컨 포테이토 피자 밀도우 (R),,3.98,
314,피자_베이컨 포테이토 피자 씬도우 (L),,5.99,
315,피자_베이컨 포테이토 피자 씬도우 (R),,3.99,
316,피자_베이컨포테이토 피자 치즈크러스트 (L),,10.8,
317,피자_베이컨포테이토 피자 치즈크러스트 (M),,11.25,
318,피자_베이컨소시지 피자 (L),,11.57,
319,피자_베이컨쉬림프 피자 (R),,11.13,
320,피자_베이컨쉬림프 피자 밀도우 (L),,4.97,
321,피자_베이컨쉬림프 피자 밀도우 (R),,3.3,
322,피자_베이컨쉬림프 피자 씬도우 (L),,4.98,
323,피자_베이컨쉬림프 피자 씬도우 (R),,3.32,
324,피자_베이컨왕손포테이토 피자 (L),,10.29,
325,피자_베이컨의꿈 피자 (L),,16.38,
326,피자_베이컨체다치즈 피자 (L),,14.55,
327,피자_베이컨체다치즈 피자 (L),,17.49,
328,기타차_패션 프룻 히비스커스 (L),,0.0,
329,피자_버팔로 피자 백미스크린 (R),,10.89,
330,피자_버팔로 피자 백미스크린치즈크러스트 (L),,12.0,
331,피자_버팔로 피자 백미스크린치즈크러스트 (R),,11.61,
332,피자_버팔로 피자 씬 (L),,11.5,
333,피자_버팔로 피자 씬 (R),,11.49,
334,피자_버팔로 피자 체다크림크러스트 (L),,11.32,
335,피자_버팔로 피자 체다크림크러스트 (R),,10.48,
336,피자_버팔로 피자 치즈크러스트 (L),,12.03,
337,피자_버팔로 피자 치즈크러스트 (R),,11.2,
338,피자_버팔로 피자 팬 (L),,11.64,
339,피자_버팔로 피자 팬 (R),,11.4,
340,피자_버팔로 피자 흑미스크린 (L),,11.51,
341,피자_버팔로 피자 흑미스크린 (R),,10.78,
342,피자_버팔로 피자 흑미스크린치즈크러스트 (L),,11.33,
343,피자_버팔로 피자 흑미스크린치즈크러스트 (R),,11.5,
344,피자_베이컨 포테이토 스퀘어 피자,,11.85,
345,피자_베이컨 포테이토 피자 (L),,11.08,
346,피자_베이컨 포테이토 피자 (M),,12.48,
347,기타차_패션 프룻 히비스커스 (J),,0.0,
348,피자_밤호박 피자 치즈크러스트 (R),,10.91,
349,피자_밤호박 피자 팬 (L),,10.16,
350,피자_밤호박 피자 팬 (R),,10.1,
